BOQ Sr.No,BOQ Description,BOQ Qty,BOQ UOM,BOQ Item Type,BOQ Dimensions,BOQ Material,,Vendor Description,Vendor Qty,Vendor UOM,Vendor Unit Price,Vendor Total Price,Vendor Brand,,Match Confidence,Match Status,Issues,LLM Reasoning
20,750 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:750mm,null,,"FLAT BEND 90° FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,192.036,1920.36,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a 90-degree flat bend for a cable tray system. It is made of Hot-Dip Galvanized (HDG) material, designed for a 750mm wide by 50mm high cable tray, with a thickness of 2.0mm. It's a specialized component used in cable management systems to change the direction of cable trays at right angles."
21,600 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:600mm,null,,"FLAT BEND 90° FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,134.304,1343.04,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a flat bend for a cable tray system. It's a 90-degree bend designed for a 600mm wide by 50mm high cable tray. The bend is made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm, which provides corrosion resistance and durability."
22,450 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:450mm,null,,"FLAT BEND 90° FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,89.856,898.56,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a flat bend for a cable tray system. It's a 90-degree bend designed for a 450mm wide by 50mm high cable tray. The bend is made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm.
23,300 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:300mm,null,,"FLAT BEND 90° FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,42.588,425.88,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a flat bend for a cable tray system. It's a 90-degree bend designed for a 300x50mm cable tray, made of HDG (Hot-Dip Galvanized) material with a thickness of 1.5mm."
24,225 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:225mm,null,,"FLAT BEND 90° FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,31.224,312.24,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a flat bend for a cable tray system. It's a 90-degree bend designed for a 225x50mm cable tray, made of HDG (Hot-Dip Galvanized) material with a thickness of 1.5mm."
25,200 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:200mm,null,,"FLAT BEND 90° FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,28.98,289.8,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a 90-degree flat bend for a cable tray system. It is made of HDG (Hot-Dip Galvanized) material and designed for a 200x50mm cable tray with a thickness of 1.5mm.
26,150 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:150mm,null,,"FLAT BEND 90° FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,23.88,238.8,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a flat bend for a cable tray system. It's a 90-degree bend designed for a 150mm wide by 50mm high cable tray. The bend is made of 1.5mm thick hot-dip galvanized (HDG) material, which provides corrosion resistance."
27,100 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:100mm,null,,"FLAT BEND 90° FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,18.012,180.12,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a flat bend for a cable tray system. It's a 90-degree bend designed for a 100x50mm cable tray, made of 1.5mm thick hot-dip galvanized (HDG) material. It's used to change the direction of cable trays in a right angle while maintaining a flat profile."
28,900 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:900mm,null,,NOT QUOTED,,,,,,,0.00,❌ MISSING/POOR,Item not quoted by vendor,No vendor quote found
29,750 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:750mm,null,,"FLAT BEND 45° FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,115.908,1159.08,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a flat bend for a cable tray system. It has a 45-degree angle and is designed for a 750mm wide by 50mm high cable tray. The bend is made of 2.0mm thick hot-dip galvanized (HDG) material.
30,600 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:600mm,null,,"FLAT BEND 45° FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,84.9,849.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a 45-degree flat bend for a cable tray system. It is made of HDG (Hot-Dip Galvanized) material and has specific dimensions for width, height, and thickness."
31,450 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:450mm,null,,"FLAT BEND 45° FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,61.128,611.28,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a flat bend for a cable tray system. It has a 45-degree angle and is designed for a 450x50mm cable tray. The bend is made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm, which provides corrosion resistance and durability for electrical installations."
32,300 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:300mm,null,,"FLAT BEND 45° FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,30.588,305.88,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a flat bend for a cable tray system. It has a 45-degree angle and is designed for a 300x50mm cable tray. The bend is made of 1.5mm thick material and is hot-dip galvanized (HDG) for corrosion protection.
33,225 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:225mm,null,,"FLAT BEND 45° FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,22.968,229.68,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a flat bend for a cable tray system. It has a 45-degree angle and is designed for a 225x50mm cable tray. The bend is made of 1.5mm thick material and is hot-dip galvanized (HDG) for corrosion protection.
34,200 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:200mm,null,,"FLAT BEND 45° FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,21.024,210.24,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend","This item is a flat bend for a cable tray system. It has a 45-degree angle and is designed for a 200x50mm cable tray. The bend is made of 1.5mm thick hot-dip galvanized (HDG) material, which provides corrosion resistance."
35,150 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:150mm,null,,"FLAT BEND 45° FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,20.388,203.88,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a 45-degree flat bend for a cable tray system. It is made of HDG (Hot-Dip Galvanized) material and designed for a 150x50mm cable tray with a thickness of 1.5mm.
36,100 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:100mm,null,,"FLAT BEND 45° FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,16.824,168.24,,,0.75,✓ GOOD,"Type mismatch: BOQ=bend, Vendor=Flat Bend",This item is a flat bend for a cable tray system. It has a 45-degree angle and is designed for a 100x50mm cable tray. The bend is made of 1.5mm thick material and is hot-dip galvanized (HDG) for corrosion protection.
37,900 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:900mm,null,,"EQUAL TEE FOR 900X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,249.588,2495.88,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It's designed for a 900mm wide by 50mm high cable tray, with a thickness of 2.0mm. The material is HDG (Hot-Dip Galvanized), which provides corrosion resistance. It's a crucial component for creating T-junctions in cable tray installations."
38,750 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:750mm,null,,"EQUAL TEE FOR 750X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,195.996,1959.96,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It's designed to connect cable trays at right angles, maintaining the same dimensions (750x50mm) as the connected trays. The tee is made of 2.0mm thick HDG (Hot-Dip Galvanized) material, which provides excellent corrosion resistance for industrial or outdoor applications."
39,600 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:600mm,null,,"EQUAL TEE FOR 600X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,148.848,1488.48,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It's designed for a 600x50mm cable tray, made of 2.0mm thick Hot-Dip Galvanized (HDG) material. The tee is used to create T-junctions in cable tray installations, allowing for branching of cable routes."
40,450 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:450mm,null,,"EQUAL TEE FOR 450X50MM CABLE TRAY, 2.0MM THK -HDG",10.0,NOS,102.768,1027.68,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It is designed for a 450x50mm cable tray, made of 2.0mm thick hot-dip galvanized (HDG) material. The tee is used to create T-shaped junctions in cable tray installations, allowing for branching of cable routes."
41,300 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:300mm,null,,"EQUAL TEE FOR 300X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,48.72,487.2,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It is designed for a 300x50mm cable tray, made of 1.5mm thick hot-dip galvanized (HDG) material. The tee is used to create T-junctions in cable tray installations, allowing for branching of cable routes."
42,225 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:225mm,null,,"EQUAL TEE FOR 225X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,36.864,368.64,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It's designed for a 225x50mm cable tray, made of 1.5mm thick hot-dip galvanized (HDG) material. The tee is used to create T-shaped junctions in cable tray installations, allowing for branching of cable routes."
43,200 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:200mm,null,,"EQUAL TEE FOR 200X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,34.284,342.84,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It's designed to connect three cable tray sections at right angles, forming a T-junction. The tee is sized for 200x50mm cable trays, made of 1.5mm thick hot-dip galvanized (HDG) material for corrosion resistance."
44,150 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:150mm,null,,"EQUAL TEE FOR 150X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,28.86,288.6,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an Equal Tee fitting for a cable tray system. It's designed to connect cable trays at right angles, forming a T-junction. The tee is sized for 150x50mm cable trays, made of 1.5mm thick HDG (Hot-Dip Galvanized) material for corrosion resistance."
45,100 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:100mm,null,,"EQUAL TEE FOR 100X50MM CABLE TRAY, 1.5MM THK -HDG",10.0,NOS,23.7,237.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Equal Tee","This item is an equal tee fitting for a cable tray system. It's designed to connect cable trays at a T-junction, maintaining the same dimensions (100x50mm) as the main tray. The fitting is made of hot-dip galvanized (HDG) material for corrosion resistance, with a thickness of 1.5mm."
48,900X900X750 MM UNEQUAL TEE,20.0,NOS,tee,"width:900mm, height:900mm, length:750mm",null,,"UNEQUAL TEE FOR 900X50-900X50-750X50MM CABLE TRAY, 2.0MM THK -HDG",20.0,NOS,249.588,4991.76,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Unequal Tee","This item is an unequal tee fitting for a cable tray system. It connects three sections of cable tray with different sizes: two 900x50mm sections and one 750x50mm section. The fitting is made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm, providing corrosion resistance and durability for electrical cable management systems."
49,750X750X600 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:750mm, height:750mm, length:600mm",HDG,,"UNEQUAL TEE FOR 750X50-750X50-600X50MM CABLE TRAY, 2.0MM THK -HDG",20.0,NOS,195.996,3919.92,,,1.00,✅ EXCELLENT,None,"This item is an unequal tee fitting for a cable tray system. It connects three cable tray sections with different dimensions: two 750x50mm sections and one 600x50mm section. The fitting is made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm, providing corrosion resistance and durability for electrical cable management systems."
50,600X600X450 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:600mm, height:600mm, length:450mm",null,,"UNEQUAL TEE FOR 600X50-600X50-450X50MM CABLE TRAY, 2.0MM THK -HDG",20.0,NOS,148.848,2976.96,,,1.00,✅ EXCELLENT,None,"This item is an unequal tee fitting for a cable tray system. It's designed to connect three cable tray sections of different sizes (600x50mm, 600x50mm, and 450x50mm). The fitting is made of 2.0mm thick hot-dip galvanized (HDG) material, which provides corrosion resistance."
51,450X450X300 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:450mm, height:450mm, length:300mm",null,,"UNEQUAL TEE FOR 450X50-450X50-300X50MM CABLE TRAY, 2.0MM THK -HDG",20.0,NOS,102.768,2055.36,,,1.00,✅ EXCELLENT,None,This item is an unequal tee fitting for a cable tray system. It's designed to connect cable trays of different sizes (450x50mm and 300x50mm) at a T-junction. The fitting is made of 2.0mm thick hot-dip galvanized (HDG) material for corrosion resistance.
52,300X300X225 MM UNEQUAL TEE,20.0,NOS,tee,"width:300mm, height:300mm, length:225mm",null,,"UNEQUAL TEE FOR 300X50-300X50-225X50MM CABLE TRAY, 1.5MM THK -HDG",20.0,NOS,48.72,974.4,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Unequal Tee","This item is an unequal tee fitting for a cable tray system. It's designed to connect cable trays of different sizes (300x50mm and 225x50mm). The fitting is made of HDG (Hot-Dip Galvanized) material with a thickness of 1.5mm, providing corrosion resistance and durability."
53,225X225X150 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:225mm, height:225mm, length:150mm",null,,NOT QUOTED,,,,,,,0.00,❌ MISSING/POOR,Item not quoted by vendor,No vendor quote found
54,150X150X100 MM UNEQUAL TEE,20.0,NOS,tee,"width:150mm, height:150mm, length:100mm",null,,"UNEQUAL TEE FOR 150X50-150X50-100X50MM CABLE TRAY, 1.5MM THK -HDG",20.0,NOS,28.86,577.2,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Unequal Tee","This item is an unequal tee fitting for a cable tray system. It's designed to connect cable trays of different sizes (150x50mm and 100x50mm). The fitting is made of HDG (Hot-Dip Galvanized) material with a thickness of 1.5mm, providing corrosion resistance and durability for electrical installations."
55,900X750 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:900mm, height:750mm",null,,"STRAIGHT REDUCER FOR 900X50-750X50MM CABLE TRAY, 2.0MM THK - HDG",10.0,NOS,60.876,608.76,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 900x50mm tray to a 750x50mm tray, maintaining the same height. It's made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm, which provides corrosion resistance and durability for electrical installations."
56,750X600 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:750mm, height:600mm",null,,"STRAIGHT REDUCER FOR 750X50-600X50MM CABLE TRAY, 2.0MM THK HDG",10.0,NOS,53.916,539.16,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 750x50mm tray to a 600x50mm tray, maintaining a 50mm height. The reducer is made of 2.0mm thick hot-dip galvanized (HDG) material, which provides corrosion resistance."
57,600X450 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:600mm, height:450mm",null,,"STRAIGHT REDUCER FOR 600X50-450X50MM CABLE TRAY, 2.0MM THK HDG",10.0,NOS,47.904,479.04,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 600x50mm tray to a 450x50mm tray, maintaining the same height. It's made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm, which provides corrosion resistance and durability."
58,450X300 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:450mm, height:300mm",null,,"STRAIGHT REDUCER FOR 450X50-300X50MM CABLE TRAY, 2.0MM THK HDG",10.0,NOS,44.04,440.4,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 450x50mm tray to a 300x50mm tray, maintaining the same height. It's made of HDG (Hot-Dip Galvanized) material with a thickness of 2.0mm, which provides corrosion resistance and durability."
59,300X225 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:300mm, height:225mm",null,,"STRAIGHT REDUCER FOR 300X50-225X50MM CABLE TRAY, 1.5MM THK - HDG",10.0,NOS,26.772,267.72,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for cable trays, used to transition from a 300x50mm tray to a 225x50mm tray. It's made of HDG (Hot-Dip Galvanized) material with a thickness of 1.5mm, providing corrosion resistance and durability for cable management systems."
