BOQ Sr.No,BOQ Description,BOQ Qty,BOQ UOM,BOQ Item Type,BOQ Dimensions,BOQ Material,,Vendor Description,Vendor Qty,Vendor UOM,Vendor Unit Price,Vendor Total Price,Vendor Brand,,Match Confidence,Match Status,Issues,LLM Reasoning
18,"100 MM CABLE TRAY COVER HDG,",204.0,Mtr,cable tray cover,"width:100mm, length:3m",HDG,,TRAY VENTILATED COVER 100X15X1.5MMX3MTR,204.0,LTH,27.0,5508.0,,,0.85,✅ EXCELLENT,"UOM mismatch: BOQ=Mtr, Vendor=LTH","This item is a ventilated cover for a cable tray. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable tray components."
19,900 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:900mm,null,,TRAY 90 DEG BEND 900X50X2.0MM,10.0,NOS,98.0,980.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system, with specific dimensions and likely made of HDG (Hot-Dip Galvanized) material."
20,750 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:750mm,null,,TRAY 90 DEG BEND 750X50X2.0MM,10.0,NOS,84.0,840.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system, with specific dimensions and likely made of hot-dip galvanized (HDG) material."
21,600 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:600mm,null,,TRAY 90 DEG BEND 600X50X2.0MM,10.0,NOS,70.0,700.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system, with specific dimensions and likely made of hot-dip galvanized (HDG) material."
22,450 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:450mm,null,,TRAY 90 DEG BEND 450X50X2.0MM,10.0,NOS,55.0,550.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system, with specific dimensions of 450mm width, 50mm height, and 2.0mm thickness. It's likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays."
23,300 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:300mm,null,,TRAY 90 DEG BEND 300X50X1.5MM,10.0,NOS,32.0,320.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
24,225 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:225mm,null,,TRAY 90 DEG BEND 225X50X1.5MM,10.0,NOS,27.0,270.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
25,200 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:200mm,null,,TRAY 90 DEG BEND 200X50X1.5MM,10.0,NOS,25.0,250.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
26,150 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:150mm,null,,TRAY 90 DEG BEND 150X50X1.5MM,10.0,NOS,21.0,210.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
27,100 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:100mm,null,,TRAY 90 DEG BEND 100X50X1.5MM,10.0,NOS,17.0,170.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
28,900 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:900mm,null,,TRAY 45 DEG BEND 900X50X2.0MM,10.0,NOS,98.0,980.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system, with specific dimensions and likely made of hot-dip galvanized (HDG) material."
29,750 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:750mm,null,,TRAY 45 DEG BEND 750X50X2.0MM,10.0,NOS,84.0,840.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system. It has specific dimensions and is likely made of hot-dip galvanized (HDG) material, which is common for cable trays."
30,600 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:600mm,null,,TRAY 45 DEG BEND 600X50X2.0MM,10.0,NOS,70.0,700.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system, with specific dimensions and likely made of hot-dip galvanized (HDG) material."
31,450 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:450mm,null,,TRAY 45 DEG BEND 450X50X2.0MM,10.0,NOS,55.0,550.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system, with specific dimensions and likely made of hot-dip galvanized (HDG) material."
32,300 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:300mm,null,,TRAY 45 DEG BEND 300X50X1.5MM,10.0,NOS,32.0,320.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
33,225 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:225mm,null,,TRAY 45 DEG BEND 225X50X1.5MM,10.0,NOS,27.0,270.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system. It has specific dimensions (225mm x 50mm x 1.5mm) and is likely made of galvanized iron (GI) material, which is common for cable trays. The bend is used to change the direction of the cable tray run at a 45-degree angle."
34,200 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:200mm,null,,TRAY 45 DEG BEND 200X50X1.5MM,10.0,NOS,25.0,250.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system. It has specific dimensions and is likely made of hot-dip galvanized (HDG) material, which is common for cable trays."
35,150 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:150mm,null,,TRAY 45 DEG BEND 150X50X1.5MM,10.0,NOS,21.0,210.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system. It has specific dimensions (150mm width, 50mm height, 1.5mm thickness) and is likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays due to its corrosion resistance."
36,100 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:100mm,null,,TRAY 45 DEG BEND 100X50X1.5MM,10.0,NOS,17.0,170.0,,,1.00,✅ EXCELLENT,None,"This item is a 45-degree bend for a cable tray system, with specific dimensions of 100mm width, 50mm height, and 1.5mm thickness. It's likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays."
37,900 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:900mm,null,,TRAY EQUAL TEE 900X50X2.0MM,10.0,NOS,114.0,1140.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Tray Equal Tee","This item is a tray equal tee, which is a T-shaped junction for cable trays. It has dimensions of 900mm width, 50mm height, and 2.0mm thickness. The material is likely HDG (Hot-Dip Galvanized) based on common industry standards for cable trays, although it's not explicitly stated in the quote."
38,750 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:750mm,null,,TRAY EQUAL TEE 750X50X2.0MM,10.0,NOS,98.0,980.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Tray Equal Tee","This item is a tray equal tee, which is an accessory for cable tray systems. It's used to create T-shaped junctions in cable tray installations."
39,600 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:600mm,null,,TRAY EQUAL TEE 600X50X2.0MM,10.0,NOS,81.0,810.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=tray equal tee","This item is a tray equal tee, which is a T-shaped junction piece used in cable tray systems. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
40,450 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:450mm,null,,TRAY EQUAL TEE 450X50X2.0MM,10.0,NOS,65.0,650.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=tray equal tee","This item is a tray equal tee, which is a T-shaped junction piece for cable trays. It has specific dimensions and is likely made of galvanized iron (GI) material, commonly used for cable management systems."
41,300 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:300mm,null,,TRAY EQUAL TEE 300X50X1.5MM,10.0,NOS,37.0,370.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Tray Equal Tee","This item is a Tray Equal Tee, which is a T-shaped junction piece used in cable tray systems. It has dimensions of 300mm width, 50mm height, and 1.5mm thickness. The material is likely galvanized iron (GI), which is common for cable trays due to its corrosion resistance and durability."
42,225 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:225mm,null,,TRAY EQUAL TEE 225X50X1.5MM,10.0,NOS,31.0,310.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Tray Equal Tee","This item is a tray equal tee, which is a T-shaped junction piece for cable trays. It has specific dimensions and is likely made of galvanized iron (GI) based on common materials used for cable trays."
43,200 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:200mm,null,,TRAY EQUAL TEE 200X50X1.5MM,10.0,NOS,29.0,290.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=tray equal tee","This item is a tray equal tee, which is a T-shaped junction for cable trays. It's used to create 90-degree branches in cable tray systems."
44,150 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:150mm,null,,TRAY EQUAL TEE 150X50X1.5MM,10.0,NOS,25.0,250.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=tray equal tee","This item is a tray equal tee, which is a T-shaped junction for cable trays. It's used to create branching paths in cable tray systems."
45,100 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:100mm,null,,TRAY EQUAL TEE 100X50X1.5MM,10.0,NOS,20.0,200.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=tray equal tee","This item is a tray equal tee fitting for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable tray components."
48,900X900X750 MM UNEQUAL TEE,20.0,NOS,tee,"width:900mm, height:900mm, length:750mm",null,,"TRAY UNEQUAL TEE (W1=900,W2=750,W3=900)X50X2.0MM W3 0000000 W1 W2",20.0,NOS,114.0,2280.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Tray Unequal Tee","This item is a cable tray unequal tee junction, which is used to connect cable trays of different widths. It has three sides with widths of 900mm, 750mm, and 900mm, a height of 50mm, and a thickness of 2.0mm. The material is likely HDG (Hot-Dip Galvanized) based on common industry standards for cable trays, although it's not explicitly stated in the description."
49,750X750X600 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:750mm, height:750mm, length:600mm",HDG,,"TRAY UNEQUAL TEE (W1=750,W2=600,W3=750)X50X2.0MM W3 0000000 : W1 W2",20.0,NOS,98.0,1960.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=Unequal Tee, Vendor=Tray Unequal Tee","This item is a cable tray accessory, specifically an unequal tee junction. It's used to connect cable trays of different widths. The material is likely HDG (Hot-Dip Galvanized) based on common industry standards, though it's not explicitly stated in the description."
50,600X600X450 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:600mm, height:600mm, length:450mm",null,,"TRAY UNEQUAL TEE (W1=600,W2=450,W3=600)X50X2.0MM W3 W1 W2",20.0,NOS,81.0,1620.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=Unequal Tee, Vendor=Tray Unequal Tee","This item is a cable tray unequal tee junction, which is used to connect cable trays of different widths. It has three arms with widths of 600mm, 450mm, and 600mm respectively. The tray has a height of 50mm and a thickness of 2.0mm. The material is likely Hot-Dip Galvanized (HDG), which is common for cable trays to provide corrosion resistance."
51,450X450X300 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:450mm, height:450mm, length:300mm",null,,"TRAY UNEQUAL TEE (W1=450,W2=300,W3=450)X50X2.0MM W3 W1 W2",20.0,NOS,65.0,1300.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=Unequal Tee, Vendor=Tray Unequal Tee","This item is a tray unequal tee, which is an accessory for cable tray systems. It has three different widths (W1=450mm, W2=300mm, W3=450mm), a height of 50mm, and a thickness of 2.0mm. The material is likely HDG (Hot-Dip Galvanized) based on common industry standards for cable trays, though it's not explicitly stated in the quote."
52,300X300X225 MM UNEQUAL TEE,20.0,NOS,tee,"width:300mm, height:300mm, length:225mm",null,,"TRAY UNEQUAL TEE (W1=300,W2=225,W3=300)X50X1.5MM W3 0000000 W1 W2",20.0,NOS,37.0,740.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Tray Unequal Tee","This item is a tray unequal tee, which is a junction piece for cable trays where three sections meet, with different widths. It has specific dimensions for each branch and is likely used in cable management systems."
53,225X225X150 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:225mm, height:225mm, length:150mm",null,,"TRAY UNEQUAL TEE (W1=225,W2=150,W3=225)X50X1.5MM W3 0000000 W1 W2",,W1,,620.0,,,0.50,✓ GOOD,"UOM mismatch: BOQ=NOS, Vendor=W1; Type mismatch: BOQ=Unequal Tee, Vendor=Tray Unequal Tee","This item is a tray unequal tee, which is a type of cable tray component used for creating T-junctions with different widths. It has three width measurements: W1 and W3 are 225mm, while W2 is 150mm. The height is 50mm, and the thickness is 1.5mm. The unequal widths suggest it's used for transitioning between different tray sizes in a cable management system."
54,150X150X100 MM UNEQUAL TEE,20.0,NOS,tee,"width:150mm, height:150mm, length:100mm",null,,"TRAY UNEQUAL TEE (W1=150,W2=100,W3=150)X50X1.5MM W3 0000000 W1 W2",,W1,,500.0,,,0.50,✓ GOOD,"UOM mismatch: BOQ=NOS, Vendor=W1; Type mismatch: BOQ=tee, Vendor=Tray Unequal Tee","This item is a tray unequal tee, which is a type of cable tray fitting used to create T-junctions with different widths. It has three sides with widths of 150mm, 100mm, and 150mm, a height of 50mm, and a thickness of 1.5mm."
55,900X750 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:900mm, height:750mm",null,,TRAY STRAIGHT REDUCER (900-750)X50X2.0MM,10.0,NOS,72.0,720.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Tray Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 900mm width to a 750mm width, with a height of 50mm and thickness of 2.0mm. The material is likely HDG (Hot-Dip Galvanized) which is common for cable trays, though not explicitly stated."
56,750X600 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:750mm, height:600mm",null,,TRAY STRAIGHT REDUCER (750-600)X50X2.0MM,10.0,NOS,61.0,610.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Tray Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 750mm width to a 600mm width, with a height of 50mm and thickness of 2.0mm. The material is likely galvanized iron (GI), which is common for cable trays."
57,600X450 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:600mm, height:450mm",null,,TRAY STRAIGHT REDUCER (600-450)X50X2.0MM,10.0,NOS,51.0,510.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Tray Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 600mm width to a 450mm width, maintaining a height of 50mm and a thickness of 2.0mm. The material is likely galvanized iron (GI), which is common for cable trays."
58,450X300 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:450mm, height:300mm",null,,TRAY STRAIGHT REDUCER (450-300)X50X2.0MM,10.0,NOS,41.0,410.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Tray Straight Reducer","This item is a straight reducer for a cable tray system. It reduces the width from 450mm to 300mm, maintaining a height of 50mm and a thickness of 2.0mm. The material is likely Hot-Dip Galvanized (HDG), which is common for cable trays to provide corrosion resistance."
59,300X225 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:300mm, height:225mm",null,,TRAY STRAIGHT REDUCER (300-225)X50X1.5MM,10.0,NOS,24.0,240.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Tray Straight Reducer","This item is a tray straight reducer, which is used to transition between different widths of cable trays. It reduces from 300mm to 225mm width, with a height of 50mm and thickness of 1.5mm. The material is likely galvanized iron (GI) based on common industry standards for cable trays."
60,225X150 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:225mm, height:150mm",null,,TRAY STRAIGHT REDUCER (225-150)X50X1.5MM,10.0,NOS,20.0,200.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Tray Straight Reducer","This item is a straight reducer for a cable tray system. It transitions from a 225mm width to a 150mm width, with a height of 50mm and thickness of 1.5mm. The material is likely galvanized iron (GI) based on common industry standards for cable trays."
61,150X100 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:150mm, height:100mm",null,,TRAY STRAIGHT REDUCER (150-100)X50X1.5MM,10.0,NOS,16.0,160.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Tray Straight Reducer","This item is a straight reducer tray, which is used to transition between different widths of cable trays. It reduces from 150mm to 100mm width, with a height of 50mm and thickness of 1.5mm. The material is likely galvanized iron (GI) based on common industry standards for cable trays."
62,900 MM INSIDE RISER,10.0,NOS,riser,width:900mm,null,,TRAY 90 DEG INSIDE RISER 900X50X2.0MM,10.0,NOS,72.0,720.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=Tray 90 Degree Inside Riser","This item is a 90-degree inside riser cable tray, typically used in cable management systems to route cables vertically while changing direction. It has specific dimensions and is likely made of hot-dip galvanized (HDG) steel for corrosion resistance."
63,750 MM INSIDE RISER,10.0,NOS,cable tray riser,width:750mm,null,,TRAY 90 DEG INSIDE RISER 750X50X2.0MM,10.0,NOS,61.0,610.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray riser, Vendor=bend","This item is a 90-degree inside riser bend for a cable tray system. It has specific dimensions and is likely made of hot-dip galvanized (HDG) material, which is common for cable trays."
64,600 MM INSIDE RISER,10.0,NOS,riser,width:600mm,null,,TRAY 90 DEG INSIDE RISER 600X50X2.0MM,10.0,NOS,51.0,510.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=bend",This item is a 90-degree inside riser bend for a cable tray system. It's used to change the direction of the cable tray vertically while maintaining proper cable support and protection.
65,450 MM INSIDE RISER,10.0,NOS,riser,width:450mm,null,,TRAY 90 DEG INSIDE RISER 450X50X2.0MM,10.0,NOS,41.0,410.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=bend","This item is a 90-degree inside riser bend for a cable tray system. It has specific dimensions and is likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays."
66,300 MM INSIDE RISER,10.0,NOS,riser,width:300mm,null,,TRAY 90 DEG INSIDE RISER 300X50X1.5MM,10.0,NOS,24.0,240.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=bend","This item is a 90-degree inside riser bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
67,225 MM INSIDE RISER,10.0,NOS,riser,width:225mm,null,,TRAY 90 DEG INSIDE RISER 225X50X1.5MM,10.0,NOS,20.0,200.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=bend","This item is a 90-degree inside riser bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
68,200 MM INSIDE RISER,10.0,NOS,riser,width:200mm,null,,TRAY 90 DEG INSIDE RISER 200X50X1.5MM,10.0,NOS,18.0,180.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=bend","This item is a 90-degree inside riser bend for a cable tray system. It has specific dimensions and is likely made of galvanized iron (GI) material, which is common for cable trays."
69,150 MM INSIDE RISER,10.0,NOS,riser,width:150mm,null,,TRAY 90 DEG INSIDE RISER 150X50X1.5MM,10.0,NOS,16.0,160.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=Tray Bend","This item is a 90-degree inside riser bend for a cable tray system with dimensions 150mm width, 50mm height, and 1.5mm thickness."
