BOQ Sr.No,BOQ Description,BOQ Qty,BOQ UOM,BOQ Item Type,BOQ Dimensions,BOQ Material,,Vendor Description,Vendor Qty,Vendor UOM,Vendor Unit Price,Vendor Total Price,Vendor Brand,,Match Confidence,Match Status,Issues,LLM Reasoning
19,900 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:900mm,null,,900 MM CABLE TRAY 90DEG BEND,10.0,Nos,102.0,1020.0,,,1.00,✅ EXCELLENT,None,"This item is a 90-degree bend for a cable tray system, with a width of 900mm. It's likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays due to its corrosion resistance."
20,750 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:750mm,null,,750 MM CABLE TRAY 90DEG BEND,10.0,Nos,87.0,870.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 750mm. It's used to change the direction of cable trays in installations.
21,600 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:600mm,null,,600 MM CABLE TRAY 90DEG BEND,10.0,Nos,72.0,720.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 600mm. It's used in electrical installations to change the direction of cable runs at right angles.
22,450 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:450mm,null,,450 MM CABLE TRAY 90DEG BEND,10.0,Nos,57.0,570.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 450mm. It's used in electrical installations to change the direction of cable runs at right angles.
23,300 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:300mm,null,,300 MM CABLE TRAY 90DEG BEND,10.0,Nos,29.0,290.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 300mm. It's used to change the direction of cable trays in installations.
24,225 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:225mm,null,,225 MM CABLE TRAY 90DEG BEND,10.0,Nos,23.0,230.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 225mm. It's used to change the direction of cable trays in installations.
25,200 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:200mm,null,,200 MM CABLE TRAY 90DEG BEND,10.0,Nos,22.0,220.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 200mm. It's used to change the direction of cable trays in installations.
26,150 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:150mm,null,,150 MM CABLE TRAY 90DEG BEND,10.0,Nos,18.0,180.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 150mm. It's used to change the direction of cable trays in installations.
27,100 MM CABLE TRAY 90DEG BEND,10.0,NOS,bend,width:100mm,null,,100 MM CABLE TRAY 90DEG BEND,10.0,Nos,15.0,150.0,,,1.00,✅ EXCELLENT,None,This item is a 90-degree bend for a cable tray system with a width of 100mm. It's used to change the direction of cable trays in installations.
28,900 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:900mm,null,,900 MM CABLE TRAY 45DEG BEND,10.0,Nos,102.0,1020.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a cable tray system with a width of 900 mm. It's used to change the direction of cable trays in installations.
29,750 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:750mm,null,,750 MM CABLE TRAY 45DEG BEND,10.0,Nos,87.0,870.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a cable tray system with a width of 750mm. It's used to change the direction of cable trays in installations.
30,600 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:600mm,null,,600 MM CABLE TRAY 45DEG BEND,10.0,Nos,72.0,720.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a cable tray system with a width of 600mm. It's used to change the direction of cable trays in installations.
31,450 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:450mm,null,,450 MM CABLE TRAY 45DEG BEND,10.0,Nos,57.0,570.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a cable tray system with a width of 450mm. It's used to change the direction of cable trays in installations.
32,300 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:300mm,null,,300 MM CABLE TRAY 45DEG BEND,10.0,Nos,29.0,290.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a 300mm wide cable tray. It's used to change the direction of cable tray runs at a 45-degree angle.
33,225 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:225mm,null,,225 MM CABLE TRAY 45DEG BEND,10.0,Nos,23.0,230.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a cable tray system with a width of 225mm. It's used to change the direction of cable trays in installations.
34,200 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:200mm,null,,200 MM CABLE TRAY 45DEG BEND,10.0,Nos,22.0,220.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a cable tray system with a width of 200mm. It's used to change the direction of cable trays in installations.
35,150 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:150mm,null,,150 MM CABLE TRAY 45DEG BEND,10.0,Nos,18.0,180.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a cable tray system with a width of 150mm. It's used to change the direction of cable trays in installations.
36,100 MM CABLE TRAY 45DEG BEND,10.0,NOS,bend,width:100mm,null,,100 MM CABLE TRAY 45DEG BEND,10.0,Nos,15.0,150.0,,,1.00,✅ EXCELLENT,None,This item is a 45-degree bend for a 100mm wide cable tray. It's used to change the direction of cable tray runs at a 45-degree angle.
37,900 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:900mm,null,,900 MM CABLE TRAY EQUAL TEE,10.0,Nos,102.0,1020.0,,,1.00,✅ EXCELLENT,None,"This item is a 900mm wide cable tray equal tee, likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays. The equal tee is a type of fitting used in cable tray systems to create T-shaped junctions."
38,750 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:750mm,null,,750 MM CABLE TRAY EQUAL TEE,10.0,Nos,87.0,870.0,,,1.00,✅ EXCELLENT,None,"This item is a 750mm wide cable tray equal tee, likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays. The equal tee is a type of fitting used in cable tray systems to create T-shaped junctions."
39,600 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:600mm,null,,600 MM CABLE TRAY EQUAL TEE,10.0,NOS,72.0,720.0,,,1.00,✅ EXCELLENT,None,"This item is a 600mm wide cable tray equal tee, which is a T-shaped junction used in cable tray systems for branching or changing direction of cable runs."
40,450 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:450mm,null,,450 MM CABLE TRAY EQUAL TEE,10.0,Nos,57.0,570.0,,,1.00,✅ EXCELLENT,None,"This item is a 450mm wide cable tray equal tee, likely made of HDG (Hot-Dip Galvanized) material, which is common for cable trays. The equal tee is a type of fitting used in cable tray systems to create T-shaped junctions."
41,300 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:300mm,null,,300 MM CABLE TRAY EQUAL TEE,10.0,NOS,29.0,290.0,,,1.00,✅ EXCELLENT,None,"This item is a 300mm wide cable tray equal tee, which is a T-shaped junction used in cable tray systems to create branching paths for cables."
42,225 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:225mm,null,,225 MM CABLE TRAY EQUAL TEE,10.0,Nos,23.0,230.0,,,1.00,✅ EXCELLENT,None,"This item is a 225mm wide cable tray equal tee, which is a T-shaped junction used in cable tray systems to connect three sections of cable tray at right angles."
43,200 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:200mm,null,,200 MM CABLE TRAY EQUAL TEE,10.0,NOS,22.0,220.0,,,1.00,✅ EXCELLENT,None,"This item is a 200mm wide cable tray equal tee, which is a T-shaped junction used in cable tray systems to create branching paths for cables."
44,150 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:150mm,null,,150 MM CABLE TRAY EQUAL TEE,10.0,Nos,18.0,180.0,,,1.00,✅ EXCELLENT,None,"This item is a 150mm wide cable tray equal tee, which is a T-shaped junction used in cable tray systems to create branches or change directions."
45,100 MM CABLE TRAY EQUAL TEE,10.0,NOS,tee,width:100mm,null,,100 MM CABLE TRAY EQUAL TEE,10.0,Nos,15.0,150.0,,,1.00,✅ EXCELLENT,None,"This item is a 100mm wide cable tray equal tee, which is a T-shaped junction used in cable tray systems to create branching paths for cables."
48,900X900X750 MM UNEQUAL TEE,20.0,NOS,tee,"width:900mm, height:900mm, length:750mm",null,,900X900X750 MM UNEQUAL TEE,20.0,Nos,102.0,2040.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Unequal Tee","This item is an unequal tee junction for a cable tray system. It has dimensions of 900mm x 900mm x 750mm, which suggests it's used to connect cable trays at a T-intersection where the branching tray has a different size (750mm) compared to the main tray (900mm)."
49,750X750X600 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:750mm, height:750mm, length:600mm",HDG,,750X750X600 MM UNEQUAL TEE,20.0,Nos,87.0,1740.0,,,1.00,✅ EXCELLENT,None,"This item is an unequal tee joint for a cable tray system, used to create T-shaped intersections in cable routing. The dimensions suggest it's for a large-scale industrial or commercial application."
50,600X600X450 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:600mm, height:600mm, length:450mm",null,,600X600X450 MM UNEQUAL TEE,20.0,Nos,72.0,1440.0,,,1.00,✅ EXCELLENT,None,"This item is an unequal tee junction for a cable tray system. It's called 'unequal' because one of its dimensions (450mm) differs from the other two (600mm). This type of accessory is used to create T-shaped intersections in cable tray installations, allowing for branching of cable routes."
51,450X450X300 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:450mm, height:450mm, length:300mm",null,,450X450X300 MM UNEQUAL TEE,20.0,Nos,57.0,1140.0,,,1.00,✅ EXCELLENT,None,"This item is an unequal tee joint for a cable tray system. It has dimensions of 450x450x300 mm, indicating it connects three sections of different sizes."
52,300X300X225 MM UNEQUAL TEE,20.0,NOS,tee,"width:300mm, height:300mm, length:225mm",null,,300X300X225 MM UNEQUAL TEE,20.0,Nos,29.0,580.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Unequal Tee","This item is an unequal tee joint for a cable tray system. It has dimensions of 300x300x225 mm, which indicates it's used to connect cable trays of different sizes or to create a branching point in the cable tray layout."
53,225X225X150 MM UNEQUAL TEE,20.0,NOS,Unequal Tee,"width:225mm, height:225mm, length:150mm",null,,225X225X150 MM UNEQUAL TEE,20.0,Nos,23.0,460.0,,,1.00,✅ EXCELLENT,None,"This item is an unequal tee joint for a cable tray system. It has dimensions of 225x225x150 mm, which indicates it's used to connect cable trays of different sizes or to create a branch in the cable tray system."
54,150X150X100 MM UNEQUAL TEE,20.0,NOS,tee,"width:150mm, height:150mm, length:100mm",null,,150X150X100 MM UNEQUAL TEE,20.0,Nos,18.0,360.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=Unequal Tee","This item is an unequal tee joint for a cable tray system. It has dimensions of 150x150x100 mm, indicating it connects sections with different sizes. It's a crucial component for creating T-shaped intersections in cable management systems."
55,900X750 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:900mm, height:750mm",null,,900X750 MM STRAIGHT REDUCER,10.0,Nos,102.0,1020.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for a cable tray system, used to transition between two different tray sizes. It has dimensions of 900mm x 750mm, indicating it reduces the tray width from 900mm to 750mm."
56,750X600 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:750mm, height:600mm",null,,750X600 MM STRAIGHT REDUCER,10.0,Nos,87.0,870.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for a cable tray system, used to transition between different tray sizes. It has dimensions of 750mm x 600mm, indicating it reduces the tray width from 750mm to 600mm."
57,600X450 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:600mm, height:450mm",null,,600X450 MM STRAIGHT REDUCER,10.0,Nos,72.0,720.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for cable trays, used to transition between different tray sizes. It reduces the width from 600mm to 450mm."
58,450X300 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:450mm, height:300mm",null,,450X300 MM STRAIGHT REDUCER,10.0,Nos,57.0,570.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for cable trays, used to transition between different tray sizes. It reduces the width from 450mm to 300mm."
59,300X225 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:300mm, height:225mm",null,,300X225 MM STRAIGHT REDUCER,10.0,Nos,29.0,290.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for cable trays, used to transition between different tray sizes. It reduces from 300mm to 225mm, likely in width."
60,225X150 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:225mm, height:150mm",null,,NOT QUOTED,,,,,,,0.00,❌ MISSING/POOR,Item not quoted by vendor,No vendor quote found
61,150X100 MM STRAIGHT REDUCER,10.0,NOS,straight reducer,"width:150mm, height:100mm",null,,225X150 MM STRAIGHT REDUCER,10.0,Nos,23.0,230.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=straight reducer, Vendor=Straight Reducer","This item is a straight reducer for cable trays, used to transition between different tray sizes. It reduces from 225mm to 150mm, likely in width."
62,900 MM INSIDE RISER,10.0,NOS,riser,width:900mm,null,,900 MM INSIDE RISER,10.0,Nos,102.0,1020.0,,,1.00,✅ EXCELLENT,None,"This item is a 900mm inside riser, which is typically used in cable tray systems for vertical cable management or transitions between levels."
63,750 MM INSIDE RISER,10.0,NOS,cable tray riser,width:750mm,null,,750 MM INSIDE RISER,10.0,Nos,87.0,870.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=cable tray riser, Vendor=riser","This item is a 750mm inside riser, which is likely a vertical component of a cable tray system used for managing cables in a vertical orientation or between floors."
64,600 MM INSIDE RISER,10.0,NOS,riser,width:600mm,null,,600 MM INSIDE RISER,10.0,Nos,72.0,720.0,,,1.00,✅ EXCELLENT,None,"This item is a 600mm inside riser, which is likely a vertical component of a cable tray system used for managing cables in a vertical orientation."
65,450 MM INSIDE RISER,10.0,NOS,riser,width:450mm,null,,450 MM INSIDE RISER,10.0,Nos,57.0,570.0,,,1.00,✅ EXCELLENT,None,"This item is a 450mm inside riser, which is likely a vertical component used in cable tray systems for managing cables in vertical runs or between floors."
66,300 MM INSIDE RISER,10.0,NOS,riser,width:300mm,null,,300 MM INSIDE RISER,10.0,Nos,29.0,290.0,,,1.00,✅ EXCELLENT,None,"This item is a 300mm inside riser, which is likely a component of a cable tray system used for vertical cable management. It's typically used to route cables vertically within an enclosure or between floors."
67,225 MM INSIDE RISER,10.0,NOS,riser,width:225mm,null,,225 MM INSIDE RISER,10.0,Nos,23.0,230.0,,,1.00,✅ EXCELLENT,None,"This item is a 225mm inside riser, which is likely a vertical component of a cable tray system used for routing cables upwards in an installation."
68,200 MM INSIDE RISER,10.0,NOS,riser,width:200mm,null,,200 MM INSIDE RISER,10.0,Nos,22.0,220.0,,,1.00,✅ EXCELLENT,None,"This item is a 200mm inside riser, which is likely a component used in cable management systems to guide cables vertically within an enclosure or along a wall."
69,150 MM INSIDE RISER,10.0,NOS,riser,width:150mm,null,,150 MM INSIDE RISER,10.0,Nos,18.0,180.0,,,1.00,✅ EXCELLENT,None,"This item is a 150mm inside riser, which is typically used in cable management systems to guide cables vertically within an enclosure or between floors."
70,100 MM INSIDE RISER,10.0,NOS,riser,width:100mm,null,,100 MM INSIDE RISER,10.0,Nos,15.0,150.0,,,1.00,✅ EXCELLENT,None,"This item is a 100mm inside riser, which is likely a component used in cable tray systems to transition between different levels or elevations."
71,900 MM OUTSIDE RISER,10.0,NOS,riser,width:900mm,null,,900 MM OUTSIDE RISER,10.0,Nos,102.0,1020.0,,,1.00,✅ EXCELLENT,None,"This item is an outside riser, which is a vertical component used in cable tray systems to route cables between different levels or floors. It has a width of 900mm and is likely used for larger cable management applications."
72,750 MM OUTSIDE RISER,10.0,NOS,riser,width:750mm,null,,750 MM OUTSIDE RISER,10.0,Nos,87.0,870.0,,,1.00,✅ EXCELLENT,None,"This item is an outside riser, which is a vertical component used in cable tray systems to route cables between different levels or floors. It has a width of 750mm and is likely used for larger cable management applications."
73,600 MM OUTSIDE RISER,10.0,NOS,riser,width:600mm,null,,600 MM OUTSIDE RISER,10.0,Nos,72.0,720.0,,,1.00,✅ EXCELLENT,None,"This item is an outside riser, which is a vertical component used in cable management systems to route cables between different levels or floors. It has a width of 600mm and is likely used for organizing and protecting cables in vertical runs."
74,450 MM OUTSIDE RISER,10.0,NOS,riser,width:450mm,null,,450 MM OUTSIDE RISER,10.0,Nos,57.0,570.0,,,1.00,✅ EXCELLENT,None,"This item is an outside riser, which is a vertical component used in cable management systems to route cables between different levels or floors. It has a width of 450mm and is likely used for organizing and protecting cables in vertical runs."
75,300 MM OUTSIDE RISER,10.0,NOS,riser,width:300mm,null,,300 MM OUTSIDE RISER,10.0,Nos,29.0,290.0,,,1.00,✅ EXCELLENT,None,"This item is an outside riser, which is a vertical component used in cable tray systems to route cables between different levels or floors. It has a width of 300mm."
76,225 MM OUTSIDE RISER,10.0,NOS,riser,width:225mm,null,,225 MM OUTSIDE RISER,10.0,Nos,23.0,230.0,,,1.00,✅ EXCELLENT,None,"This item is a 225mm outside riser, which is likely an accessory for a cable tray system used to transition cables from one level to another or to provide vertical cable management."
77,200 MM OUTSIDE RISER,10.0,NOS,riser,width:200mm,null,,200 MM OUTSIDE RISER,10.0,Nos,22.0,220.0,,,1.00,✅ EXCELLENT,None,"This item is a 200mm outside riser, which is a vertical component used in cable tray systems to change elevation or connect different levels. The ""outside"" designation likely refers to its placement or configuration."
78,150 MM OUTSIDE RISER,10.0,NOS,riser,width:150mm,null,,150 MM OUTSIDE RISER,10.0,Nos,18.0,180.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=Outside Riser","This item is an outside riser, which is typically used in cable tray systems to transition cables from one level to another. It has a width of 150mm and is sold in individual units."
79,100 MM OUTSIDE RISER,10.0,NOS,riser,width:100mm,null,,100 MM OUTSIDE RISER,10.0,Nos,15.0,150.0,,,1.00,✅ EXCELLENT,None,"This item is a 100mm outside riser, which is typically used in cable management systems to route cables vertically. It's often used in conjunction with cable trays or other cable support systems."
80,75 MM OUTSIDE RISER,10.0,NOS,riser,width:75mm,null,,75 MM OUTSIDE RISER,10.0,Nos,13.0,130.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=riser, Vendor=Outside Riser","This item is a 75mm outside riser, which is likely a component used in cable management systems to route cables vertically along the outside of a structure or enclosure."
81,50 MM OUTSIDE RISER,10.0,NOS,riser,width:50mm,null,,50 MM OUTSIDE RISER,10.0,Nos,11.0,110.0,,,1.00,✅ EXCELLENT,None,"This item is a 50mm outside riser, which is likely a vertical component used in cable management systems or similar applications. The term 'outside' might indicate it's designed for external use or mounting on the outside of a structure."
82,900 MM ADDON BRANCH,20.0,NOS,tee,width:900mm,HDG,,900 MM ADDON BRANCH,20.0,Nos,102.0,2040.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=branch","This item is an addon branch for a cable tray system, likely used to create additional pathways or connections in the cable management setup. The width of 900mm suggests it's for a large cable tray system."
83,750 MM ADDON BRANCH,20.0,NOS,tee,width:750mm,HDG,,750 MM ADDON BRANCH,20.0,Nos,87.0,1740.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=branch","This item is an addon branch for a cable tray system, with a width of 750mm. It's likely used to create additional pathways or connections in a cable management system."
84,600 MM ADDON BRANCH,20.0,NOS,tee,width:600mm,HDG,,600 MM ADDON BRANCH,20.0,Nos,72.0,1440.0,,,0.75,✓ GOOD,"Type mismatch: BOQ=tee, Vendor=branch","This item is an addon branch for a cable tray system, with a width of 600mm. It's likely used to create additional pathways or connections in a cable management system."
